,ZipCode,Population,HouseholdsPerZipCode,PersonsPerHousehold,AverageHouseValue,IncomePerHousehold,Latitude,Longitude,Elevation,State,StateFullName,City,CountyName,CBSAType,CBSAName,MSAName,PMSA_Name,Region,Division,popden,Unnamed: 20,electricity (kWh),Nat. Gas (cu.ft.),FUELOIL (gallons),Vehicle miles traveled,Unnamed: 25,Transport (tCO2e/yr),Housing (tCO2e/yr),Food (tCO2e/yr),Goods (tCO2e/yr),Services (tCO2e/yr),Total (tCO2e/yr)
3568,14059,8937,3435,2.67,135300,54668,42.831721,-78.641949,583,NY,New York,ELMA,ERIE,Metro,"Buffalo-Niagara Falls, NY","Buffalo-Niagara Falls, NY MSA",,Northeast,Middle Atlantic,338.745696362,,10631.9159575,10631.9159575,10631.9159575,26596,,18.5161246368,11.7105338084,8.01,6.01383637038,6.86352496235,51.1140197778
3569,14060,441,208,2.77,52800,32232,42.43674,-78.30222,1566,NY,New York,FARMERSVILLE STATION,CATTARAUGUS,Micro,"Olean, NY",,,Northeast,Middle Atlantic,28.1618942367,,7614.39077608,7614.39077608,7614.39077608,24662,,16.3786136098,10.3605544771,8.31,4.6220614183,4.92851593213,44.5997454374
3570,14062,3351,1404,2.6,67600,38996,42.453248,-79.157542,1303,NY,New York,FORESTVILLE,CHAUTAUQUA,Micro,"Jamestown-Dunkirk-Fredonia, NY","Jamestown, NY MSA",,Northeast,Middle Atlantic,47.5694785878,,8878.22959305,8878.22959305,8878.22959305,24596,,16.6428507906,9.98956744145,7.8,5.01634541193,5.50820590002,44.956969544
3571,14063,14690,5410,2.4,84300,37010,42.426332,-79.338844,1303,NY,New York,FREDONIA,CHAUTAUQUA,Micro,"Jamestown-Dunkirk-Fredonia, NY","Jamestown, NY MSA",,Northeast,Middle Atlantic,278.718143195,,7995.11835005,7995.11835005,7995.11835005,20018,,13.8066686954,10.0558075049,7.2,4.80682831783,5.32438362574,41.1936881438
3572,14065,2003,810,2.87,69800,34665,42.47664,-78.31644,1566,NY,New York,FREEDOM,CATTARAUGUS,Micro,"Olean, NY",,,Northeast,Middle Atlantic,56.0495844342,,7856.87943979,7856.87943979,7856.87943979,24499,,16.3331618971,8.51665357599,8.61,4.83878790271,5.14790950786,43.4465128837
3573,14066,1514,655,2.79,54700,38182,42.63711,-78.189109,1322,NY,New York,GAINESVILLE,WYOMING,,,,,Northeast,Middle Atlantic,41.7926438377,,7790.40989196,7790.40989196,7790.40989196,22129,,15.042254997,10.4952312905,8.37,5.03207428758,5.44762119007,44.3871817651
3574,14067,5128,1937,2.72,83400,46176,43.20799,-78.566937,492,NY,New York,GASPORT,NIAGARA,Metro,"Buffalo-Niagara Falls, NY","Buffalo-Niagara Falls, NY MSA",,Northeast,Middle Atlantic,102.740163095,,8798.07979926,8798.07979926,8798.07979926,28610,,19.3827060267,11.5649146157,8.16,5.50520631502,6.13376340386,50.7465903613
3575,14068,10027,2414,2.71,154600,68559,43.023282,-78.752723,583,NY,New York,GETZVILLE,ERIE,Metro,"Buffalo-Niagara Falls, NY","Buffalo-Niagara Falls, NY MSA",,Northeast,Middle Atlantic,2616.71209225,,9985.41957209,9985.41957209,9985.41957209,22679,,16.6299846281,11.1100362784,8.13,6.96149335717,8.07404964212,50.9055639058
3576,14069,785,333,2.54,95000,51094,42.60202,-78.63914,583,NY,New York,GLENWOOD,ERIE,Metro,"Buffalo-Niagara Falls, NY","Buffalo-Niagara Falls, NY MSA",,Northeast,Middle Atlantic,144.377693518,,9504.66148557,9504.66148557,9504.66148557,25416,,17.7500751708,10.2732182893,7.62,5.64176075006,6.53344093981,47.81849515
3577,14070,5735,2520,2.39,59000,33093,42.452722,-78.937227,1566,NY,New York,GOWANDA,CATTARAUGUS,Micro,"Olean, NY",,,Northeast,Middle Atlantic,111.322668395,,7828.96703624,7828.96703624,7828.96703624,19412,,13.2690129636,10.0058547516,7.17,4.56288096707,4.98641915733,39.9941678396
3578,14072,18621,7355,2.68,118400,60432,43.013954,-78.960717,583,NY,New York,GRAND ISLAND,ERIE,Metro,"Buffalo-Niagara Falls, NY","Buffalo-Niagara Falls, NY MSA",,Northeast,Middle Atlantic,653.133819968,,9828.62779482,9828.62779482,9828.62779482,25180,,17.8613335592,11.2762894436,8.04,6.40835168861,7.3660133965,50.951988088
